Year,Country,Count,Color
48,US,1760,#F5E87F
48,EU,4,#202A33
48,EU,55,#202A33
48,EU,76,#202A33
48,EU,12,#202A33
48,EU,51,#202A33
48,EU,18,#202A33
48,CH,4,#CCCCCC
48,NO,6,#CCCCCC
48,Asia,19,#CCCCCC
48,Asia,166,#CCCCCC
48,MX,2,#CCCCCC
48,AU,12,#CCCCCC
48,EU,69,#202A33
48,EU,4,#202A33
48,AN,1,#CCCCCC
48,TI,1,#CCCCCC
48,CA,12,#CCCCCC
48,EU,64,#202A33
48,NZ,3,#CCCCCC
48,Asia,41,#CCCCCC
48,Asia,8,#CCCCCC
48,EU,3,#202A33
48,EU,18,#202A33
48,EU,3,#202A33
48,CN,8,#C2648E
48,Asia,1,#CCCCCC
48,EU,2,#202A33
48,Asia,2,#CCCCCC
47,US,769,#F5E87F
47,Asia,150,#CCCCCC
47,Asia,2,#CCCCCC
47,EU,49,#202A33
47,EU,70,#202A33
47,EU,15,#202A33
47,NO,2,#CCCCCC
47,AU,144,#CCCCCC
47,MX,2,#CCCCCC
47,EU,46,#202A33
47,Asia,29,#CCCCCC
47,EU,47,#202A33
47,EU,7,#202A33
47,EU,7,#202A33
47,EU,50,#202A33
47,Asia,15,#CCCCCC
47,EU,1,#202A33
47,CA,5,#CCCCCC
47,CX,1,#CCCCCC
47,EU,14,#202A33
47,Asia,2,#CCCCCC
47,NZ,7,#CCCCCC
47,CH,1,#CCCCCC
47,EU,1,#202A33
47,EU,3,#202A33
47,EU,4,#202A33
47,CN,5,#C2648E
47,Asia,8,#CCCCCC
47,BR,2,#CCCCCC
47,EU,1,#202A33
47,NA,1,#CCCCCC
50,EU,66,#202A33
50,US,1435,#F5E87F
50,Asia,158,#CCCCCC
50,EU,29,#202A33
50,BR,3,#CCCCCC
50,EU,15,#202A33
50,EU,67,#202A33
50,NO,9,#CCCCCC
50,Asia,20,#CCCCCC
50,MX,1,#CCCCCC
50,EU,42,#202A33
50,AU,10,#CCCCCC
50,EU,59,#202A33
50,EU,5,#202A33
50,Asia,31,#CCCCCC
50,EU,61,#202A33
50,EU,7,#202A33
50,CA,8,#CCCCCC
50,EU,8,#202A33
50,EU,21,#202A33
50,EU,2,#202A33
50,NZ,3,#CCCCCC
50,CN,3,#C2648E
50,CH,5,#CCCCCC
50,EU,2,#202A33
50,Asia,3,#CCCCCC
50,Asia,9,#CCCCCC
50,Asia,1,#CCCCCC
50,EU,1,#202A33
50,EU,1,#202A33
49,EU,63,#202A33
49,US,2170,#F5E87F
49,EU,92,#202A33
49,EU,6,#202A33
49,EU,88,#202A33
49,Asia,60,#CCCCCC
49,EU,36,#202A33
49,EU,21,#202A33
49,EU,83,#202A33
49,NO,15,#CCCCCC
49,EU,10,#202A33
49,AU,20,#CCCCCC
49,Asia,35,#CCCCCC
49,Asia,183,#CCCCCC
49,EU,77,#202A33
49,EU,3,#202A33
49,EU,24,#202A33
49,CH,9,#CCCCCC
49,CA,10,#CCCCCC
49,NZ,9,#CCCCCC
49,Asia,1,#CCCCCC
49,Asia,4,#CCCCCC
49,Asia,2,#CCCCCC
49,EU,1,#202A33
49,EU,7,#202A33
49,AR,1,#CCCCCC
49,EU,1,#202A33
49,BR,2,#CCCCCC
49,Asia,1,#CCCCCC
49,Asia,2,#CCCCCC
49,Asia,6,#CCCCCC
49,CN,5,#C2648E
49,TO,1,#CCCCCC
51,EU,320,#202A33
51,US,1146,#F5E87F
51,EU,149,#202A33
51,CH,8,#CCCCCC
51,EU,2,#202A33
51,Asia,90,#CCCCCC
51,Asia,190,#CCCCCC
51,EU,25,#202A33
51,EU,25,#202A33
51,EU,16,#202A33
51,EU,78,#202A33
51,NO,23,#CCCCCC
51,Asia,18,#CCCCCC
51,EU,10,#202A33
51,MX,2,#CCCCCC
51,AU,19,#CCCCCC
51,EU,31,#202A33
51,EU,127,#202A33
51,CA,22,#CCCCCC
51,Asia,4,#CCCCCC
51,EU,2,#202A33
51,NZ,3,#CCCCCC
51,HP,1,#CCCCCC
51,EU,3,#202A33
51,CN,8,#C2648E
51,EU,1,#202A33
51,EU,7,#202A33
51,EU,2,#202A33
51,BR,5,#CCCCCC
51,Asia,9,#CCCCCC
51,CI,1,#CCCCCC
51,Asia,1,#CCCCCC
51,KE,1,#CCCCCC
51,CF,1,#CCCCCC
51,Asia,2,#CCCCCC
51,ZW,1,#CCCCCC
51,GH,1,#CCCCCC
51,TO,1,#CCCCCC
51,Asia,4,#CCCCCC
51,ZA,1,#CCCCCC
51,EU,1,#202A33
52,US,1235,#F5E87F
52,EU,7,#202A33
52,EU,22,#202A33
52,MX,3,#CCCCCC
52,Asia,107,#CCCCCC
52,EU,83,#202A33
52,EU,13,#202A33
52,NO,7,#CCCCCC
52,EU,36,#202A33
52,Asia,18,#CCCCCC
52,EU,75,#202A33
52,EU,62,#202A33
52,Asia,1,#CCCCCC
52,CA,26,#CCCCCC
52,NZ,2,#CCCCCC
52,Asia,70,#CCCCCC
52,EU,13,#202A33
52,Asia,7,#CCCCCC
52,Asia,7,#CCCCCC
52,CN,15,#C2648E
52,Asia,1,#CCCCCC
52,EU,1,#202A33
52,EU,2,#202A33
52,BR,3,#CCCCCC
52,CH,2,#CCCCCC
52,AU,6,#CCCCCC
52,EU,4,#202A33
52,EU,3,#202A33
52,AI,1,#CCCCCC
52,EU,1,#202A33
52,Asia,1,#CCCCCC
52,NA,1,#CCCCCC
55,US,982,#F5E87F
55,EU,24,#202A33
55,CA,29,#CCCCCC
55,Asia,164,#CCCCCC
55,EU,3,#202A33
55,EU,70,#202A33
55,CH,5,#CCCCCC
55,EU,34,#202A33
55,Asia,13,#CCCCCC
55,EU,2,#202A33
55,EU,16,#202A33
55,CN,5,#C2648E
55,NZ,1,#CCCCCC
55,EU,9,#202A33
55,EU,7,#202A33
55,EU,32,#202A33
55,NO,8,#CCCCCC
55,EU,2,#202A33
55,EU,71,#202A33
55,Asia,108,#CCCCCC
55,Asia,4,#CCCCCC
55,BR,4,#CCCCCC
55,AU,8,#CCCCCC
55,CF,3,#CCCCCC
55,TN,1,#CCCCCC
55,Asia,1,#CCCCCC
55,Asia,5,#CCCCCC
55,MX,1,#CCCCCC
55,EU,1,#202A33
55,PA,1,#CCCCCC
55,Asia,4,#CCCCCC
55,GM,1,#CCCCCC
55,EU,2,#202A33
55,Asia,1,#CCCCCC
56,NO,9,#CCCCCC
56,US,1104,#F5E87F
56,EU,71,#202A33
56,EU,7,#202A33
56,CA,25,#CCCCCC
56,Asia,66,#CCCCCC
56,EU,17,#202A33
