Year,US,Asia,EU,NO,AU,MX,CA,CX,NZ,CH,CN,BR,NA,AN,TI,AR,TO,HP,CI,KE,CF,ZW,GH,ZA,AI,CM,GN,GM,UG,AG,NG,MD,AB,RU,PO,KY,TN,PA,AD,UY,DZ,LS,BJ,CD,RW,VE,HT,GU,MU,MA,PG,TG,ST,JA,CG,CL,IO,FJ,ET,AQ,ML,IS,NC,TK,AX,TV,MW,VA,EG,PR,GA,CR,BW,CO,AL,TC,TF,SN,UM,UA,CC,SC,TZ,KN,SL,TT,GT,CU,BZ,NE,PY,LC,BB,DO,SV,SD,CK,BF,EH,BO,SX,NI,AO,CW,PE,NR,JM,ER,EC,BI,LR,MR,GD,ZM,RS,MK,VG,PS,SR,CV,LY,SO,VU,BA,HN,SS,BY,GY,DM,WS,MZ,ME,TL,,TD
47,769,206,315,2,144,2,5,1,7,1,5,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1760,237,379,6,12,2,12,,3,4,8,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2170,294,512,15,20,,10,,9,9,5,2,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1435,222,386,9,10,1,8,,3,5,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1146,318,799,23,19,2,22,,3,8,8,5,,,,,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1235,212,322,7,6,3,26,,2,2,15,3,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,1070,249,311,10,9,3,27,,2,3,8,3,1,,,,,,,,,,,,,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,595,1027,287,9,13,2,14,,1,2,17,3,,,,,,,,1,2,,,,,,,,2,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,982,300,273,8,8,1,29,,1,5,5,4,,,,,,,,,3,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,1104,244,260,9,10,2,25,,2,4,3,8,10,,,,,,,,,,2,,,1,,1,,,2,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,638,246,376,9,8,2,16,,1,5,8,2,6,,,,,,,3,,,2,4,,1,,,1,,,,,,,,,1,,4,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,740,215,220,6,6,2,11,,2,1,7,2,1,,,,,,,2,1,,2,3,,,1,,1,,2,,,,,,,,1,3,1,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,457,656,188,5,4,2,9,,2,2,20,2,,,,,,,,2,1,,21,8,,,1,,,,2,,,,,,,,,1,,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,901,244,247,6,3,3,9,,1,3,5,2,5,,,,,,1,,2,,2,4,,,2,1,3,,1,,,,,,,,2,5,,,,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,802,205,233,6,5,7,13,,1,3,4,2,4,,,,,,,1,1,,,2,,,1,3,,,1,,,,,,,2,1,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,682,202,194,5,6,2,15,,,4,8,2,,,,,,,,,1,,,1,,,1,,,,,,,,,,,1,,2,,,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,649,212,360,8,5,2,20,,1,4,36,4,5,,,,,,,,1,,2,4,,2,2,1,,,,,,,,,,,,3,,,,,,1,2,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,717,206,201,4,4,3,38,,2,3,30,4,4,,,1,,,,,4,,,1,,1,1,,,,,,,1,,,,,,4,,,,,,2,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,767,199,199,8,3,1,24,,2,4,26,3,5,,,,,,,,,,2,1,,2,2,,,,,,,,,,,,,2,,,,1,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,702,185,239,6,5,2,52,,2,2,38,2,5,,,,,,,1,,,2,2,,1,1,,,,1,,,,,,,,,4,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,732,174,215,4,5,3,27,,3,3,30,4,7,,,1,,,,,,,1,3,,2,,,,,,,,,,,,,,8,,,,,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,564,199,333,9,2,2,13,,2,6,37,2,,,,,,,,1,,,,3,,1,1,,,,,,,,,,1,,,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,646,197,224,7,4,1,23,,1,5,40,4,1,,,,,,,,,1,,,,2,,,,,,,,,,,,,,7,,,,1,,2,,,,,,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,614,177,217,7,4,1,42,,2,5,37,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,8,,,,1,,,,,2,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,750,152,203,6,6,2,18,,,1,20,3,1,,,,,,,2,,,1,,,,,1,,,,,,,,,,,,6,,,,,,,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,430,210,391,12,13,,35,,1,9,65,3,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,3,,,,,,1,,,1,,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,491,133,232,9,9,,27,,2,7,28,3,,,,1,,,,1,,,,1,,,,,,,,2,,,,,,1,,1,,,,,,1,2,,,1,,1,,,1,1,,1,,1,,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,654,137,265,12,11,2,38,,4,9,38,4,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,2,,,,,1,,,,,1,,1,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,398,152,394,11,8,1,22,,1,13,102,5,,,,,,,,1,,,,1,,,,,1,,,,,2,,,,,,3,,,,,,1,,,1,2,,,,,1,1,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
